-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  9.9513   Longitude 106.3346 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1.55 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2022,10,1,5.51,15.13,0.45,2.27
2022,10,2,3.36,10.07,0.29,1.45
2022,10,3,5.36,15.01,0.44,2.23
2022,10,4,3.54,10.85,0.34,1.71
2022,10,5,3.44,10.39,0.3,1.53
2022,10,6,1.45,4.89,0.13,0.68
2022,10,7,4.81,13.57,0.4,2.02
2022,10,8,1.17,4.12,0.12,0.65
2022,10,9,3.08,9.35,0.27,1.37
2022,10,10,3.91,11.47,0.34,1.73
2022,10,11,4.18,12.23,0.35,1.77
2022,10,12,3.64,10.95,0.31,1.59
2022,10,13,5.19,14.33,0.4,2.02
2022,10,14,4.95,13.75,0.39,1.99
2022,10,15,6.04,15.6,0.42,2.15
2022,10,16,6.11,15.79,0.44,2.24
2022,10,17,5.77,15.33,0.44,2.21
2022,10,18,5.01,13.73,0.4,2.06
2022,10,19,2.48,7.74,0.23,1.15
2022,10,20,1.4,4.8,0.14,0.73
2022,10,21,4.46,12.56,0.37,1.87
2022,10,22,5.29,14.2,0.41,2.05
2022,10,23,4.4,12.55,0.36,1.81
2022,10,24,4.97,13.73,0.39,1.99
2022,10,25,3.85,11.14,0.32,1.62
2022,10,26,4.89,13.46,0.38,1.96
2022,10,27,2.91,8.81,0.25,1.27
2022,10,28,3.98,11.63,0.34,1.72
2022,10,29,4.23,11.97,0.34,1.71
2022,10,30,4.6,12.8,0.38,1.88
2022,10,31,5.72,14.45,0.41,2.09
2022,11,1,4.76,12.47,0.36,1.81
2022,11,2,3.46,9.97,0.3,1.49
2022,11,3,2.43,7.52,0.22,1.11
2022,11,4,1.6,5.17,0.15,0.73
2022,11,5,5.27,14.02,0.39,2.01
2022,11,6,5.3,14.04,0.4,2.02
2022,11,7,5.56,14.66,0.41,2.07
2022,11,8,4.49,12.38,0.35,1.78
2022,11,9,5.07,13.62,0.38,1.96
2022,11,10,4.97,13.53,0.39,2.0
2022,11,11,2.2,6.98,0.2,1.01
2022,11,12,4.89,13.4,0.38,1.94
2022,11,13,4.75,13.13,0.37,1.88
2022,11,14,4.67,13.02,0.38,1.9
2022,11,15,5.18,13.71,0.39,2.0
2022,11,16,5.12,13.84,0.41,2.12
2022,11,17,5.17,14.02,0.41,2.16
2022,11,18,3.13,9.38,0.27,1.39
2022,11,19,2.45,7.7,0.23,1.2
2022,11,20,0.99,3.45,0.1,0.55
2022,11,21,2.0,6.59,0.21,1.09
2022,11,22,3.48,10.2,0.31,1.64
2022,11,23,3.74,10.45,0.3,1.57
2022,11,24,4.18,11.63,0.34,1.77
2022,11,25,5.34,13.91,0.39,2.02
2022,11,26,5.01,13.46,0.38,2.02
2022,11,27,5.29,13.99,0.39,2.05
2022,11,28,5.87,15.19,0.43,2.23
2022,11,29,5.89,15.08,0.42,2.21
2022,11,30,4.47,12.08,0.35,1.8
2022,12,1,4.67,12.83,0.37,1.93
2022,12,2,4.01,11.3,0.32,1.7
2022,12,3,0.65,2.28,0.06,0.34
2022,12,4,4.41,12.21,0.36,1.91
2022,12,5,5.25,13.77,0.39,2.08
2022,12,6,5.73,14.51,0.41,2.16
2022,12,7,4.02,11.32,0.34,1.8
2022,12,8,4.81,12.99,0.38,2.06
2022,12,9,4.22,11.48,0.34,1.84
2022,12,10,4.57,12.29,0.38,2.04
2022,12,11,4.91,12.8,0.37,1.98
2022,12,12,5.1,13.16,0.37,1.95
2022,12,13,5.71,14.0,0.38,2.02
2022,12,14,5.42,13.37,0.37,1.93
2022,12,15,5.27,13.45,0.38,1.96
2022,12,16,3.69,10.42,0.31,1.67
2022,12,17,3.74,10.62,0.34,1.8
2022,12,18,4.82,12.66,0.39,2.13
2022,12,19,4.95,12.88,0.4,2.16
2022,12,20,5.29,13.65,0.41,2.2
2022,12,21,4.99,12.95,0.39,2.11
2022,12,22,4.54,12.01,0.35,1.86
2022,12,23,5.13,12.92,0.39,2.11
2022,12,24,4.66,12.14,0.37,2.02
2022,12,25,5.12,13.02,0.4,2.16
2022,12,26,3.66,10.14,0.3,1.66
2022,12,27,4.48,11.29,0.34,1.86
2022,12,28,5.37,12.93,0.38,2.07
2022,12,29,5.29,13.09,0.39,2.1
2022,12,30,3.39,9.78,0.3,1.67
2022,12,31,4.24,11.43,0.35,1.93
