-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  9.9513   Longitude 106.3346 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1.55 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,2.27,26.87,25.15,26.01,27.01,19.96,90.5,4.45,100.84,2.24,230.94,3.16,230.88,0.92
2022,275,1.45,26.98,24.76,25.87,27.38,19.47,88.12,6.3,100.75,1.5,210.75,2.13,210.56,0.92
2022,276,2.23,26.98,25.06,26.01,27.04,19.84,89.44,14.13,100.74,2.57,77.75,3.63,77.69,0.94
2022,277,1.71,26.74,24.73,25.73,26.69,19.41,88.81,11.02,100.91,2.8,78.69,3.95,78.81,0.94
2022,278,1.53,27.15,24.76,25.95,27.12,19.47,86.88,6.4,100.93,3.36,102.69,4.7,102.62,0.93
2022,279,0.68,26.15,24.35,25.25,26.31,18.98,89.88,18.15,101.01,1.8,99.19,2.59,99.56,0.95
2022,280,2.02,26.79,24.51,25.65,26.88,19.17,87.69,18.35,100.95,1.76,75.69,2.48,76.5,0.95
2022,281,0.65,26.7,24.79,25.75,26.65,19.47,89.25,11.82,100.95,1.73,98.81,2.38,129.75,0.95
2022,282,1.37,26.55,24.6,25.57,26.72,19.23,89.19,2.1,101.04,1.85,89.0,2.62,89.06,0.95
2022,283,1.73,26.28,24.19,25.24,26.62,18.8,88.5,5.08,101.11,1.79,85.31,2.56,85.75,0.95
2022,284,1.77,27.41,23.65,25.53,27.84,18.19,80.69,4.88,101.03,0.65,137.12,0.96,135.5,0.94
2022,285,1.59,26.52,24.26,25.39,26.69,18.86,87.44,12.67,100.95,1.2,216.62,1.71,216.62,0.95
2022,286,2.02,25.87,24.09,24.98,26.35,18.74,90.06,10.47,100.83,2.48,271.75,3.43,271.94,0.95
2022,287,1.99,26.66,24.69,25.67,26.9,19.41,89.31,1.48,100.6,2.55,293.62,3.55,294.06,0.94
2022,288,2.15,25.62,23.12,24.37,26.29,17.7,86.56,0.52,100.63,2.32,293.94,3.22,293.81,0.93
2022,289,2.24,26.69,23.73,25.21,27.62,18.31,84.62,0.07,100.85,1.58,281.38,2.25,281.94,0.91
