-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  21.7767   Longitude 105.228 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 182.49 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.61,26.12,24.08,25.1,26.37,19.17,89.19,9.15,98.79,1.12,103.12,2.09,103.56,0.88
2022,275,2.03,25.9,24.44,25.17,26.19,19.47,91.94,5.46,98.91,1.16,118.19,2.23,118.56,0.88
2022,276,2.15,26.44,23.86,25.15,26.8,18.8,86.88,0.89,99.07,0.99,129.0,1.92,129.38,0.88
2022,277,2.53,26.79,22.8,24.79,26.69,17.58,80.31,0.11,99.21,0.7,167.56,1.32,168.19,0.87
2022,278,2.47,27.11,23.41,25.26,27.1,18.25,81.25,0.59,99.2,0.79,122.62,1.48,122.5,0.86
2022,279,2.14,26.45,23.05,24.76,26.57,17.88,82.75,2.48,99.22,0.88,131.12,1.6,131.38,0.86
2022,280,2.07,25.73,22.49,24.11,25.85,17.27,83.06,1.83,99.29,1.15,110.62,2.11,109.0,0.86
2022,281,1.8,24.13,21.33,22.73,24.81,16.05,85.19,2.57,99.38,0.88,113.56,1.7,113.88,0.86
2022,282,1.13,23.58,21.2,22.39,24.06,15.93,87.06,4.64,99.66,1.36,74.56,2.66,73.56,0.86
2022,283,2.19,21.1,15.07,18.08,21.39,10.74,70.19,0.42,100.01,0.92,82.94,1.8,82.06,0.85
2022,284,2.11,22.28,14.47,18.37,21.9,10.44,63.12,0.01,99.65,0.84,114.12,1.55,112.31,0.84
2022,285,1.96,23.2,16.08,19.65,22.8,11.54,65.62,0.01,99.47,0.82,119.25,1.49,119.25,0.84
