-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  10.25   Longitude 105.9667 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1.73 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,2.02,26.84,25.18,26.01,26.94,19.96,91.0,4.51,100.82,1.84,225.31,2.77,225.31,0.94
2022,275,1.45,26.91,24.74,25.83,27.19,19.47,88.44,5.38,100.75,1.2,208.31,1.86,208.25,0.94
2022,276,1.76,26.62,24.79,25.7,26.59,19.53,90.06,17.64,100.75,2.02,83.31,3.08,83.5,0.96
2022,277,1.77,26.2,24.45,25.33,26.04,19.1,90.31,10.76,100.92,1.95,78.88,3.02,79.12,0.95
2022,278,1.9,26.61,24.56,25.58,26.55,19.23,88.94,6.57,100.94,2.69,105.44,4.02,105.44,0.95
2022,279,1.72,26.04,24.53,25.29,25.97,19.17,91.5,18.39,101.01,1.52,108.38,2.32,108.38,0.97
2022,280,1.98,26.85,24.57,25.71,26.84,19.23,87.88,23.42,100.94,1.33,79.0,2.01,79.06,0.97
2022,281,0.7,26.65,24.74,25.69,26.57,19.41,89.44,10.19,100.96,1.27,172.25,1.98,173.06,0.97
2022,282,1.2,26.49,24.47,25.48,26.44,19.1,88.94,3.19,101.05,1.37,98.38,2.06,98.5,0.95
2022,283,1.88,25.9,23.72,24.81,25.89,18.25,88.19,8.76,101.11,1.56,100.31,2.43,100.44,0.96
2022,284,1.86,26.76,24.22,25.48,26.92,18.8,86.62,8.45,101.03,0.86,265.88,1.37,266.31,0.96
2022,285,1.69,26.37,24.54,25.45,26.3,19.23,89.88,10.13,100.93,1.32,205.81,2.02,206.0,0.95
