-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  21.3609   Longitude 105.5474 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 114.92 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.61,25.84,24.55,25.2,25.8,19.53,92.75,10.07,99.58,1.77,100.62,2.83,100.75,0.88
2022,275,2.03,25.89,24.69,25.29,25.79,19.65,93.25,3.85,99.7,1.57,118.0,2.54,118.06,0.88
2022,276,2.15,26.18,24.15,25.16,26.23,18.98,89.25,1.03,99.87,1.38,111.12,2.3,111.5,0.87
2022,277,2.53,26.08,23.65,24.87,25.82,18.37,87.25,1.62,100.01,0.79,124.62,1.38,125.44,0.87
2022,278,2.47,26.48,23.84,25.16,26.5,18.62,86.38,0.94,99.99,1.06,94.06,1.75,94.38,0.86
2022,279,2.14,26.08,23.73,24.9,26.08,18.49,87.62,3.05,100.0,1.15,107.25,1.93,107.69,0.86
2022,280,2.07,24.89,22.91,23.9,24.62,17.58,89.19,5.82,100.09,1.85,64.69,2.93,64.75,0.86
2022,281,1.8,23.41,21.3,22.36,23.55,15.93,88.25,10.63,100.18,1.59,81.62,2.55,82.06,0.88
2022,282,1.13,23.35,21.04,22.19,23.12,15.69,87.19,5.09,100.46,2.88,53.62,4.54,54.06,0.87
2022,283,2.19,19.72,14.49,17.1,19.24,10.25,73.0,0.02,100.82,2.16,42.62,3.43,42.06,0.85
2022,284,2.11,20.2,14.55,17.37,19.68,10.38,71.81,0.0,100.47,1.51,58.56,2.49,58.44,0.85
2022,285,1.96,21.32,16.02,18.67,20.84,11.41,73.19,0.0,100.27,1.27,60.69,2.14,60.75,0.84
