-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  10.5822   Longitude 107.2593 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 35.52 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2021,10,1,4.73,13.0,0.39,2.02
2021,10,2,3.59,10.28,0.3,1.57
2021,10,3,1.64,5.44,0.16,0.85
2021,10,4,3.38,10.06,0.31,1.61
2021,10,5,5.17,13.91,0.41,2.12
2021,10,6,2.53,8.02,0.25,1.28
2021,10,7,4.71,12.84,0.38,1.97
2021,10,8,4.69,13.16,0.4,2.03
2021,10,9,4.47,12.68,0.38,1.95
2021,10,10,5.04,13.9,0.41,2.12
2021,10,11,2.56,7.99,0.23,1.2
2021,10,12,3.82,10.8,0.32,1.64
2021,10,13,4.7,12.98,0.38,1.98
2021,10,14,4.15,11.73,0.35,1.77
2021,10,15,5.23,13.95,0.42,2.2
2021,10,16,4.09,11.66,0.35,1.79
2021,10,17,4.64,12.95,0.4,2.02
2021,10,18,5.62,14.77,0.44,2.23
2021,10,19,5.95,15.59,0.48,2.5
2021,10,20,3.49,9.91,0.29,1.49
2021,10,21,5.39,14.41,0.43,2.2
2021,10,22,5.4,14.27,0.41,2.13
2021,10,23,5.93,15.24,0.45,2.3
2021,10,24,5.54,14.52,0.42,2.16
2021,10,25,4.33,12.29,0.37,1.87
2021,10,26,2.67,8.25,0.25,1.27
2021,10,27,3.38,10.07,0.3,1.54
2021,10,28,6.15,15.83,0.45,2.37
2021,10,29,5.65,14.68,0.42,2.16
2021,10,30,5.9,15.49,0.45,2.3
2021,10,31,4.61,12.68,0.37,1.85
2021,11,1,6.13,15.78,0.44,2.25
2021,11,2,6.21,15.86,0.45,2.27
2021,11,3,5.75,14.97,0.44,2.23
2021,11,4,5.6,14.67,0.42,2.19
2021,11,5,5.15,13.67,0.39,2.02
2021,11,6,5.75,14.88,0.43,2.21
2021,11,7,4.32,11.83,0.34,1.77
2021,11,8,6.16,15.8,0.45,2.35
2021,11,9,2.79,8.57,0.27,1.37
2021,11,10,4.03,11.22,0.34,1.7
2021,11,11,2.2,6.79,0.2,1.02
2021,11,12,5.59,14.54,0.42,2.23
2021,11,13,4.45,12.19,0.36,1.87
2021,11,14,1.52,4.95,0.13,0.7
2021,11,15,4.74,12.77,0.36,1.87
2021,11,16,3.07,9.12,0.27,1.35
2021,11,17,4.44,12.15,0.34,1.78
2021,11,18,3.69,10.47,0.3,1.52
2021,11,19,4.67,12.66,0.35,1.82
2021,11,20,4.12,11.42,0.32,1.66
2021,11,21,5.4,13.8,0.38,1.95
2021,11,22,3.43,9.87,0.28,1.45
2021,11,23,5.3,13.62,0.38,1.95
2021,11,24,5.0,12.99,0.37,1.92
2021,11,25,3.18,9.23,0.27,1.4
2021,11,26,4.03,11.25,0.32,1.68
2021,11,27,2.34,7.16,0.21,1.09
2021,11,28,3.22,9.39,0.27,1.41
2021,11,29,2.76,8.31,0.24,1.27
2021,11,30,2.46,7.45,0.21,1.12
2021,12,1,3.36,9.62,0.28,1.48
2021,12,2,4.64,12.09,0.34,1.77
2021,12,3,4.77,12.28,0.34,1.76
2021,12,4,3.8,10.27,0.29,1.52
2021,12,5,5.33,13.47,0.38,1.98
2021,12,6,5.51,13.84,0.38,1.93
2021,12,7,5.22,13.28,0.35,1.85
2021,12,8,5.22,13.3,0.35,1.84
2021,12,9,3.04,8.8,0.25,1.3
2021,12,10,5.76,14.4,0.4,2.11
2021,12,11,5.01,12.87,0.35,1.87
2021,12,12,4.52,12.03,0.34,1.77
2021,12,13,4.0,10.88,0.31,1.69
2021,12,14,3.85,10.66,0.3,1.58
2021,12,15,4.43,12.01,0.34,1.81
2021,12,16,4.95,12.94,0.38,1.98
2021,12,17,4.0,10.89,0.32,1.75
2021,12,18,4.7,12.05,0.34,1.77
2021,12,19,3.76,10.11,0.28,1.51
2021,12,20,5.1,12.71,0.35,1.85
2021,12,21,5.35,13.41,0.37,1.94
2021,12,22,4.84,12.48,0.36,1.93
2021,12,23,5.09,12.96,0.37,1.97
2021,12,24,5.34,13.49,0.38,2.0
2021,12,25,5.74,14.19,0.39,2.04
2021,12,26,5.69,13.95,0.38,1.96
2021,12,27,5.46,13.42,0.36,1.88
2021,12,28,5.09,12.83,0.34,1.8
2021,12,29,4.89,12.73,0.35,1.84
2021,12,30,4.74,12.55,0.36,1.91
2021,12,31,5.58,14.09,0.4,2.09
