-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2020 through 12/31/2020 
Location: Latitude  10.5822   Longitude 107.2593 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 35.52 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2020,10,1,5.02,13.66,0.41,2.12
2020,10,2,5.2,14.02,0.43,2.2
2020,10,3,5.67,14.87,0.44,2.27
2020,10,4,5.31,14.29,0.43,2.2
2020,10,5,3.54,10.23,0.3,1.55
2020,10,6,2.77,8.71,0.26,1.32
2020,10,7,3.36,10.05,0.31,1.58
2020,10,8,4.72,13.24,0.41,2.05
2020,10,9,2.52,7.94,0.24,1.21
2020,10,10,4.26,12.13,0.37,1.85
2020,10,11,4.06,11.56,0.35,1.8
2020,10,12,4.6,12.78,0.38,1.96
2020,10,13,4.12,11.96,0.37,1.84
2020,10,14,2.03,6.54,0.2,1.02
2020,10,15,4.11,11.78,0.36,1.84
2020,10,16,2.44,7.69,0.23,1.18
2020,10,17,2.59,7.94,0.24,1.21
2020,10,18,1.32,4.37,0.12,0.63
2020,10,19,3.97,11.17,0.33,1.66
2020,10,20,5.1,13.53,0.38,1.96
2020,10,21,4.2,11.79,0.34,1.73
2020,10,22,5.32,13.91,0.41,2.09
2020,10,23,4.13,11.48,0.35,1.8
2020,10,24,3.72,10.38,0.3,1.56
2020,10,25,4.64,12.1,0.35,1.8
2020,10,26,5.22,13.55,0.39,2.02
2020,10,27,4.06,11.18,0.32,1.64
2020,10,28,3.37,9.55,0.28,1.42
2020,10,29,3.96,11.31,0.34,1.7
2020,10,30,5.94,15.41,0.43,2.21
2020,10,31,5.79,15.01,0.42,2.15
2020,11,1,5.22,13.89,0.39,2.02
2020,11,2,4.6,12.36,0.35,1.8
2020,11,3,5.47,13.91,0.4,2.03
2020,11,4,4.96,12.68,0.36,1.82
2020,11,5,5.39,13.59,0.38,1.96
2020,11,6,1.45,4.61,0.12,0.66
2020,11,7,5.33,13.95,0.39,2.02
2020,11,8,5.02,13.13,0.38,1.97
2020,11,9,3.49,9.93,0.29,1.47
2020,11,10,3.76,10.63,0.31,1.62
2020,11,11,5.03,13.27,0.38,2.0
2020,11,12,5.88,14.94,0.42,2.18
2020,11,13,5.5,14.16,0.39,2.0
2020,11,14,5.97,15.02,0.41,2.16
2020,11,15,5.33,13.49,0.37,1.89
2020,11,16,6.1,15.31,0.42,2.16
2020,11,17,6.18,15.44,0.43,2.22
2020,11,18,5.99,15.19,0.42,2.2
2020,11,19,5.38,13.98,0.4,2.06
2020,11,20,5.26,13.61,0.38,1.95
2020,11,21,5.71,14.65,0.41,2.1
2020,11,22,5.75,14.47,0.4,2.08
2020,11,23,6.0,15.05,0.4,2.08
2020,11,24,4.79,12.7,0.35,1.82
2020,11,25,4.37,11.77,0.34,1.76
2020,11,26,3.97,11.01,0.32,1.69
2020,11,27,4.4,11.81,0.33,1.73
2020,11,28,5.01,13.09,0.37,1.91
2020,11,29,3.05,8.71,0.25,1.3
2020,11,30,1.87,6.07,0.18,0.92
2020,12,1,3.03,9.01,0.26,1.33
2020,12,2,5.26,13.41,0.38,1.98
2020,12,3,6.11,15.09,0.41,2.12
2020,12,4,5.9,14.55,0.39,2.05
2020,12,5,5.66,14.06,0.39,2.06
2020,12,6,4.56,12.05,0.34,1.83
2020,12,7,3.52,9.94,0.29,1.55
2020,12,8,2.62,7.73,0.23,1.24
2020,12,9,3.04,8.83,0.26,1.37
2020,12,10,3.95,10.72,0.3,1.63
2020,12,11,2.8,8.34,0.24,1.27
2020,12,12,5.07,13.2,0.36,1.91
2020,12,13,4.68,12.39,0.35,1.9
2020,12,14,5.4,13.79,0.38,2.04
2020,12,15,4.68,12.16,0.35,1.88
2020,12,16,4.39,11.71,0.34,1.8
2020,12,17,4.81,12.55,0.36,1.95
2020,12,18,4.57,12.16,0.35,1.89
2020,12,19,3.85,10.45,0.29,1.54
2020,12,20,3.83,10.38,0.3,1.59
2020,12,21,4.92,12.52,0.35,1.87
2020,12,22,1.98,6.08,0.2,1.03
2020,12,23,2.7,8.01,0.23,1.27
2020,12,24,4.53,11.87,0.34,1.84
2020,12,25,3.67,10.38,0.31,1.69
2020,12,26,5.06,12.84,0.38,2.04
2020,12,27,4.87,12.3,0.37,2.01
2020,12,28,5.25,13.06,0.38,2.09
2020,12,29,4.01,10.81,0.34,1.84
2020,12,30,2.09,6.41,0.2,1.11
2020,12,31,3.79,10.12,0.31,1.71
