-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2020 through 12/31/2020 
Location: Latitude  10.5822   Longitude 107.2593 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 35.52 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2020,275,2.12,27.4,25.25,26.33,27.93,20.2,88.12,6.02,100.23,3.87,277.25,4.58,277.25,0.95
2020,276,2.2,27.31,25.25,26.28,27.84,20.14,88.5,16.7,100.3,3.23,232.25,3.82,232.19,0.97
2020,277,2.27,27.73,25.27,26.5,28.09,20.14,86.56,14.53,100.44,4.16,234.0,4.95,234.0,0.97
2020,278,2.2,27.33,25.06,26.19,27.82,19.9,87.44,9.84,100.5,3.56,254.69,4.23,254.81,0.97
2020,279,1.55,26.8,24.41,25.6,27.46,19.17,86.81,5.85,100.41,4.28,264.06,5.04,264.0,0.96
2020,280,1.32,26.8,24.63,25.72,27.37,19.41,87.88,23.34,100.34,5.31,261.56,6.3,261.56,0.98
2020,281,1.58,27.05,24.9,25.98,27.61,19.78,88.06,14.11,100.11,5.02,254.19,5.96,254.25,0.98
2020,282,2.05,27.46,25.13,26.3,27.74,20.02,87.06,17.43,100.2,3.9,183.0,4.63,182.88,0.98
2020,283,1.21,26.98,25.05,26.02,27.31,19.96,89.12,26.36,100.3,3.52,221.88,4.2,221.81,0.98
2020,284,1.85,26.98,24.48,25.73,27.74,19.29,86.25,34.97,100.25,2.79,236.31,3.28,236.31,0.98
2020,285,1.8,26.91,24.97,25.94,27.42,19.9,89.06,8.62,100.13,5.27,244.25,6.26,244.31,0.98
2020,286,1.96,26.86,24.69,25.77,27.43,19.53,87.88,27.44,100.05,5.2,256.19,6.16,256.19,0.98
