-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  10.5822   Longitude 107.2593 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 35.52 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2021,274,2.02,27.92,25.01,26.46,28.83,19.84,84.19,6.14,100.54,2.52,234.06,2.97,234.0,0.95
2021,275,1.57,27.62,24.59,26.1,28.26,19.35,83.62,8.72,100.59,4.12,255.69,4.86,255.69,0.96
2021,276,0.85,27.55,23.96,25.75,28.35,18.62,81.06,8.92,100.45,2.98,251.62,3.52,251.62,0.96
2021,277,1.61,28.11,23.58,25.84,28.94,18.25,76.56,24.67,100.3,1.45,184.38,1.73,184.25,0.97
2021,278,2.12,26.98,24.33,25.65,28.06,19.1,85.44,23.96,100.21,2.45,251.69,2.86,251.62,0.98
2021,279,1.28,26.7,24.35,25.53,27.58,19.17,86.88,12.81,100.06,3.66,246.81,4.33,246.81,0.98
2021,280,1.97,27.38,25.13,26.26,28.12,20.08,87.56,11.14,100.03,5.52,258.12,6.55,258.12,0.97
2021,281,2.03,27.62,25.62,26.62,28.04,20.69,88.88,6.73,100.08,7.26,246.31,8.71,246.31,0.97
2021,282,1.95,27.75,25.57,26.66,28.21,20.57,88.0,4.52,100.25,6.33,255.12,7.55,255.12,0.96
2021,283,2.12,27.94,25.64,26.79,28.36,20.69,87.5,3.9,100.2,5.62,257.06,6.7,257.06,0.96
2021,284,1.2,27.33,25.55,26.44,27.68,20.57,89.88,9.71,100.14,5.93,253.25,7.07,253.25,0.96
2021,285,1.64,26.68,24.23,25.45,27.12,18.98,86.31,13.07,100.18,6.98,258.94,8.36,258.94,0.97
2021,286,1.98,26.94,24.82,25.88,27.41,19.71,88.12,8.51,100.01,7.07,248.75,8.49,248.75,0.97
2021,287,1.77,27.9,25.62,26.76,28.26,20.63,87.5,12.72,100.16,5.14,244.62,6.14,244.62,0.97
2021,288,2.2,27.77,24.92,26.35,28.04,19.78,84.62,10.52,100.24,3.08,243.94,3.68,243.94,0.97
2021,289,1.79,26.93,24.19,25.56,27.48,18.92,85.06,9.49,100.4,3.32,277.06,3.98,277.06,0.97
2021,290,2.02,27.03,23.8,25.41,27.79,18.43,82.62,5.71,100.45,3.61,271.38,4.28,271.31,0.96
2021,291,2.23,27.62,23.97,25.79,28.16,18.62,80.62,0.34,100.61,2.06,163.31,2.46,163.44,0.95
2021,292,2.5,27.83,25.12,26.48,27.98,19.9,85.25,2.42,100.81,3.01,94.69,3.62,94.88,0.95
2021,293,1.49,27.48,25.54,26.51,27.73,20.39,89.12,60.99,100.82,3.34,89.25,4.02,89.44,0.98
2021,294,2.2,27.01,24.49,25.75,27.55,19.17,86.06,3.77,100.75,3.12,110.12,3.73,110.19,0.96
2021,295,2.13,27.21,24.72,25.97,27.66,19.41,86.19,4.55,100.77,3.54,100.88,4.23,100.94,0.96
2021,296,2.3,27.41,24.51,25.97,27.81,19.23,84.25,9.93,100.78,3.59,84.31,4.32,84.38,0.97
2021,297,2.16,27.38,22.94,25.16,28.23,17.52,77.44,1.36,100.68,2.41,79.25,2.87,79.0,0.95
2021,298,1.87,27.58,23.8,25.69,28.33,18.43,80.25,8.17,100.56,2.28,110.25,2.7,110.31,0.96
2021,299,1.27,27.87,24.28,26.08,28.73,18.98,81.06,2.21,100.39,1.85,265.31,2.2,265.25,0.95
2021,300,1.54,27.37,24.9,26.14,27.94,19.71,86.44,5.17,100.41,3.94,233.31,4.64,233.38,0.95
2021,301,2.37,27.44,24.71,26.08,27.87,19.47,85.0,2.14,100.64,4.54,103.12,5.42,103.12,0.95
2021,302,2.16,27.66,24.9,26.28,27.97,19.65,84.88,0.89,100.73,5.28,87.62,6.31,87.69,0.95
2021,303,2.3,27.33,25.12,26.23,27.59,19.9,87.75,2.57,100.76,5.14,75.75,6.15,75.75,0.95
2021,304,1.85,27.65,25.27,26.46,28.06,20.08,86.94,1.85,100.75,5.06,86.56,6.02,86.56,0.95
2021,305,2.25,27.65,25.09,26.37,27.99,19.9,86.0,1.55,100.67,5.64,73.81,6.74,73.81,0.94
2021,306,2.27,27.98,24.9,26.44,28.54,19.65,83.5,0.61,100.65,5.68,77.19,6.78,77.25,0.94
2021,307,2.23,27.55,24.55,26.05,27.81,19.29,83.88,1.53,100.61,4.28,66.0,5.12,66.0,0.93
2021,308,2.19,27.55,24.66,26.1,27.85,19.41,84.38,1.09,100.57,4.98,79.25,5.95,79.25,0.92
2021,309,2.02,27.07,24.48,25.77,27.55,19.23,85.81,2.29,100.5,3.84,77.19,4.57,77.19,0.92
2021,310,2.21,27.57,25.08,26.32,28.39,19.96,86.38,2.31,100.33,4.48,98.19,5.3,98.19,0.91
2021,311,1.77,27.57,25.01,26.29,28.01,19.9,86.0,1.68,100.33,4.76,89.12,5.66,89.19,0.91
2021,312,2.35,27.85,25.34,26.6,28.23,20.26,86.31,3.89,100.41,5.71,83.25,6.83,83.31,0.92
2021,313,1.37,27.38,24.23,25.81,27.29,18.92,83.12,8.68,100.55,5.54,63.31,6.73,63.31,0.93
2021,314,1.7,27.47,23.75,25.61,27.56,18.37,80.31,9.37,100.56,5.75,65.94,6.93,66.0,0.93
2021,315,1.02,27.02,24.2,25.62,27.19,18.92,84.62,27.56,100.47,5.96,60.69,7.17,60.69,0.97
2021,316,2.23,27.27,24.86,26.07,27.62,19.65,86.69,6.4,100.55,6.92,75.25,8.31,75.25,0.95
2021,317,1.87,27.22,24.65,25.94,27.65,19.41,85.88,4.99,100.57,6.07,82.56,7.27,82.56,0.95
2021,318,0.7,26.85,24.08,25.46,27.33,18.74,84.81,5.59,100.58,4.76,77.94,5.68,78.0,0.95
2021,319,1.87,26.98,24.35,25.67,27.38,19.1,85.5,5.28,100.45,5.74,76.62,6.88,76.69,0.95
2021,320,1.35,26.94,24.87,25.9,26.99,19.65,88.31,30.6,100.45,5.79,73.25,6.96,73.25,0.98
2021,321,1.78,26.94,24.33,25.64,27.08,19.04,85.62,1.6,100.52,4.48,67.62,5.4,67.69,0.95
2021,322,1.52,26.7,24.69,25.7,27.06,19.47,88.75,1.61,100.42,4.07,82.56,4.89,82.69,0.95
2021,323,1.82,26.94,24.35,25.65,27.74,19.1,86.19,0.87,100.3,2.87,63.38,3.42,63.38,0.94
2021,324,1.66,27.44,24.7,26.07,28.02,19.53,85.31,3.8,100.29,3.8,61.12,4.55,61.12,0.95
2021,325,1.95,27.12,25.06,26.08,27.6,19.9,88.62,0.33,100.41,5.43,74.62,6.48,74.62,0.94
2021,326,1.45,27.15,25.25,26.19,27.27,20.14,89.31,4.64,100.49,5.81,92.69,6.96,92.69,0.94
2021,327,1.95,27.39,24.05,25.72,27.55,18.74,82.25,1.76,100.5,4.69,62.12,5.63,62.12,0.93
2021,328,1.92,26.87,24.51,25.69,26.75,19.23,86.94,10.96,100.58,4.79,63.56,5.77,63.56,0.95
2021,329,1.4,26.6,23.83,25.21,26.87,18.43,84.81,1.19,100.56,3.94,98.81,4.74,98.88,0.94
2021,330,1.68,26.48,23.58,25.03,26.82,18.19,84.31,0.92,100.51,3.62,58.88,4.36,58.94,0.93
2021,331,1.09,26.26,24.01,25.14,26.65,18.68,87.44,35.16,100.48,3.85,48.25,4.58,48.19,0.97
2021,332,1.41,26.28,24.15,25.21,26.47,18.86,88.0,5.02,100.45,5.44,66.31,6.52,66.31,0.95
2021,333,1.27,26.11,24.51,25.31,26.4,19.29,90.88,34.84,100.36,5.87,101.31,7.05,101.31,0.98
2021,334,1.12,26.3,24.61,25.45,26.4,19.35,90.38,10.03,100.53,5.3,97.31,6.36,97.31,0.97
2021,335,1.48,25.83,22.32,24.08,25.91,16.85,81.06,0.34,100.67,5.68,64.12,6.83,64.19,0.95
2021,336,1.77,25.76,21.89,23.83,26.26,16.36,79.31,0.04,100.77,4.42,62.25,5.29,62.25,0.95
2021,337,1.76,25.38,20.33,22.86,26.79,14.83,74.0,0.06,100.88,3.49,63.44,4.17,63.44,0.95
2021,338,1.52,24.83,19.11,21.97,25.95,13.79,70.75,0.01,100.86,3.02,60.69,3.58,60.69,0.94
2021,339,1.98,25.56,20.99,23.27,26.47,15.56,76.06,0.01,100.73,2.41,119.38,2.84,119.19,0.94
2021,340,1.93,25.83,21.62,23.73,26.66,16.11,77.88,0.0,100.7,3.25,66.75,3.82,66.69,0.92
