-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  10.5822   Longitude 107.2593 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 35.52 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2022,10,1,5.27,14.5,0.43,2.17
2022,10,2,4.31,12.05,0.36,1.83
2022,10,3,5.64,15.23,0.44,2.23
2022,10,4,3.22,9.73,0.3,1.51
2022,10,5,5.37,14.51,0.41,2.12
2022,10,6,2.83,8.51,0.24,1.22
2022,10,7,5.64,14.97,0.42,2.15
2022,10,8,1.38,4.61,0.14,0.7
2022,10,9,5.03,13.86,0.4,2.04
2022,10,10,3.95,11.37,0.34,1.73
2022,10,11,3.9,11.31,0.33,1.66
2022,10,12,4.83,13.23,0.37,1.85
2022,10,13,5.37,14.45,0.4,2.02
2022,10,14,4.41,12.32,0.35,1.77
2022,10,15,6.01,15.29,0.41,2.1
2022,10,16,6.17,15.45,0.41,2.08
2022,10,17,5.69,14.5,0.41,2.08
2022,10,18,5.61,14.48,0.41,2.15
2022,10,19,2.04,6.33,0.19,0.93
2022,10,20,3.12,9.05,0.26,1.29
2022,10,21,6.29,15.99,0.45,2.29
2022,10,22,5.23,13.74,0.38,1.96
2022,10,23,4.72,13.12,0.37,1.88
2022,10,24,5.32,14.0,0.38,1.96
2022,10,25,3.79,10.7,0.3,1.53
2022,10,26,5.37,14.14,0.4,2.01
2022,10,27,3.66,10.56,0.31,1.58
2022,10,28,3.74,10.77,0.3,1.54
2022,10,29,3.64,10.47,0.3,1.52
2022,10,30,4.0,11.12,0.31,1.58
2022,10,31,5.74,14.33,0.4,2.05
2022,11,1,4.3,11.51,0.33,1.65
2022,11,2,3.35,9.14,0.27,1.34
2022,11,3,2.46,7.41,0.21,1.08
2022,11,4,5.18,13.53,0.38,1.94
2022,11,5,5.89,15.0,0.41,2.13
2022,11,6,5.45,13.97,0.39,1.98
2022,11,7,5.58,14.21,0.39,2.02
2022,11,8,5.06,13.16,0.37,1.89
2022,11,9,5.81,14.74,0.41,2.12
2022,11,10,5.72,14.72,0.41,2.09
2022,11,11,3.89,10.8,0.3,1.54
2022,11,12,4.5,12.41,0.35,1.81
2022,11,13,4.22,11.88,0.34,1.74
2022,11,14,5.54,14.43,0.4,2.05
2022,11,15,5.04,13.3,0.38,1.93
2022,11,16,5.72,14.8,0.42,2.2
2022,11,17,5.58,14.52,0.42,2.2
2022,11,18,4.0,11.07,0.32,1.66
2022,11,19,1.83,5.88,0.19,0.96
2022,11,20,1.71,5.57,0.18,0.92
2022,11,21,1.28,4.29,0.13,0.71
2022,11,22,1.31,4.46,0.14,0.75
2022,11,23,4.4,11.7,0.34,1.73
2022,11,24,3.41,9.85,0.29,1.52
2022,11,25,5.47,13.94,0.39,2.04
2022,11,26,4.63,12.41,0.36,1.88
2022,11,27,5.67,14.48,0.4,2.09
2022,11,28,5.9,15.02,0.41,2.19
2022,11,29,6.12,15.27,0.42,2.2
2022,11,30,5.23,13.5,0.38,1.97
2022,12,1,5.03,13.27,0.37,1.95
2022,12,2,4.33,11.77,0.34,1.79
2022,12,3,4.24,11.59,0.34,1.8
2022,12,4,4.91,12.78,0.37,1.95
2022,12,5,5.37,13.77,0.39,2.08
2022,12,6,5.72,14.32,0.41,2.16
2022,12,7,3.91,10.87,0.33,1.75
2022,12,8,5.66,14.27,0.41,2.2
2022,12,9,4.46,11.73,0.35,1.93
2022,12,10,5.63,14.07,0.42,2.29
2022,12,11,5.48,13.7,0.4,2.15
2022,12,12,5.5,13.66,0.38,2.02
2022,12,13,5.95,14.35,0.4,2.08
2022,12,14,5.26,12.84,0.35,1.86
2022,12,15,5.4,13.65,0.38,1.99
2022,12,16,3.76,10.23,0.3,1.65
2022,12,17,2.04,6.38,0.21,1.12
2022,12,18,5.04,12.66,0.38,2.1
2022,12,19,5.2,13.22,0.41,2.26
2022,12,20,5.48,13.8,0.41,2.2
2022,12,21,5.26,13.12,0.39,2.13
2022,12,22,4.96,12.49,0.36,1.93
2022,12,23,5.73,13.72,0.4,2.15
2022,12,24,5.17,12.59,0.38,2.04
2022,12,25,4.9,12.41,0.38,2.06
2022,12,26,4.73,11.69,0.35,1.91
2022,12,27,4.63,11.48,0.34,1.89
2022,12,28,5.3,12.75,0.38,2.02
2022,12,29,5.33,13.41,0.4,2.15
2022,12,30,3.77,10.18,0.31,1.71
2022,12,31,4.08,10.85,0.33,1.8
