-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  10.5822   Longitude 107.2593 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 35.52 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,2.17,27.51,24.81,26.15,27.93,19.59,85.25,7.5,100.47,3.02,220.94,3.61,220.88,0.95
2022,275,1.83,27.32,24.55,25.94,28.03,19.35,84.94,3.54,100.39,2.79,184.75,3.32,184.88,0.95
2022,276,2.23,27.53,24.82,26.18,27.76,19.65,85.25,5.1,100.37,4.44,81.62,5.34,81.69,0.95
2022,277,1.51,27.41,24.14,25.77,27.55,18.8,82.38,7.4,100.55,5.25,73.25,6.29,73.25,0.95
2022,278,2.12,27.43,24.6,26.01,27.66,19.35,84.56,8.71,100.57,5.94,89.5,7.12,89.5,0.95
2022,279,1.22,26.72,24.24,25.48,27.26,18.92,86.25,7.38,100.63,3.0,91.38,3.56,91.56,0.95
2022,280,2.15,27.51,23.73,25.62,28.0,18.37,80.19,3.54,100.56,3.55,60.25,4.24,75.19,0.95
2022,281,0.7,27.32,24.65,25.98,27.65,19.41,85.38,6.76,100.56,4.23,60.19,5.06,60.12,0.95
2022,282,2.04,26.99,24.06,25.52,27.62,18.68,84.0,3.76,100.68,3.38,84.81,4.01,84.75,0.95
2022,283,1.73,26.76,23.22,24.99,27.15,17.76,81.12,17.13,100.72,3.27,92.12,3.91,92.38,0.97
2022,284,1.66,27.34,23.33,25.33,27.94,17.88,78.88,3.44,100.65,1.73,186.06,2.03,186.38,0.95
2022,285,1.85,27.69,23.98,25.83,28.08,18.68,80.56,23.03,100.5,1.65,161.75,1.94,161.38,0.97
2022,286,2.02,27.64,24.08,25.86,28.38,18.8,81.69,1.53,100.34,3.73,300.81,4.41,300.81,0.95
