-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  21.7168   Longitude 104.8986 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 183.34 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2022,10,1,2.92,8.77,0.26,1.3
2022,10,2,2.92,8.7,0.26,1.33
2022,10,3,3.59,10.05,0.29,1.45
2022,10,4,6.03,15.46,0.44,2.29
2022,10,5,5.2,13.85,0.39,1.97
2022,10,6,5.29,13.48,0.37,1.87
2022,10,7,5.3,13.59,0.37,1.88
2022,10,8,4.15,10.8,0.3,1.51
2022,10,9,2.49,7.09,0.2,1.0
2022,10,10,4.85,12.7,0.36,1.84
2022,10,11,5.46,13.96,0.39,2.01
2022,10,12,4.36,11.75,0.34,1.76
2022,10,13,3.96,10.76,0.31,1.58
2022,10,14,5.47,13.56,0.38,1.92
2022,10,15,6.1,14.76,0.39,2.01
2022,10,16,5.92,14.16,0.37,1.89
2022,10,17,6.01,14.41,0.38,1.91
2022,10,18,5.69,13.19,0.34,-999.0
2022,10,19,4.28,10.73,0.29,1.49
2022,10,20,1.82,5.29,0.14,0.71
2022,10,21,2.54,7.16,0.2,1.01
2022,10,22,4.53,11.83,0.31,1.62
2022,10,23,4.87,12.09,0.32,1.64
2022,10,24,4.1,10.15,0.27,1.44
2022,10,25,2.99,7.59,0.21,1.1
2022,10,26,3.12,8.48,0.24,1.26
2022,10,27,3.21,8.81,0.24,1.27
2022,10,28,3.57,8.97,0.24,1.25
2022,10,29,2.65,6.7,0.18,0.95
2022,10,30,3.45,8.7,0.24,1.27
2022,10,31,3.45,9.01,0.26,1.37
2022,11,1,5.8,13.45,0.35,1.81
2022,11,2,5.92,13.7,0.36,1.84
2022,11,3,5.76,13.21,0.33,1.69
2022,11,4,5.34,12.48,0.31,1.62
2022,11,5,4.66,10.73,0.27,1.38
2022,11,6,4.09,9.27,0.23,1.18
2022,11,7,3.95,8.95,0.22,1.13
2022,11,8,3.82,8.97,0.22,1.16
2022,11,9,4.43,10.03,0.24,1.25
2022,11,10,4.87,10.94,0.27,1.39
2022,11,11,4.93,11.38,0.29,1.48
2022,11,12,4.55,10.84,0.28,1.46
2022,11,13,3.97,10.02,0.26,1.38
2022,11,14,2.25,6.27,0.17,0.9
2022,11,15,2.39,6.59,0.18,0.98
2022,11,16,2.73,7.48,0.2,1.12
2022,11,17,3.4,8.99,0.25,1.34
2022,11,18,2.96,8.09,0.23,1.23
2022,11,19,2.52,7.08,0.2,1.12
2022,11,20,2.38,6.31,0.17,0.91
2022,11,21,3.09,7.87,0.2,1.09
2022,11,22,4.28,9.94,0.24,1.25
2022,11,23,2.4,6.36,0.16,0.88
2022,11,24,1.5,4.5,0.12,0.69
2022,11,25,1.99,5.53,0.15,0.79
2022,11,26,2.1,5.91,0.16,0.85
2022,11,27,2.77,7.26,0.18,0.95
2022,11,28,3.87,9.6,0.23,1.21
2022,11,29,4.7,11.15,0.27,1.37
2022,11,30,4.25,10.22,0.25,1.27
2022,12,1,1.81,4.88,0.12,0.65
2022,12,2,1.69,4.9,0.13,0.7
2022,12,3,2.72,6.93,0.17,0.89
2022,12,4,2.12,5.48,0.13,0.71
2022,12,5,2.11,5.78,0.16,0.87
2022,12,6,1.94,5.3,0.14,0.76
2022,12,7,1.28,3.65,0.1,0.55
2022,12,8,1.48,4.11,0.12,0.63
2022,12,9,1.48,4.19,0.12,0.64
2022,12,10,1.68,4.53,0.12,0.64
2022,12,11,1.39,3.85,0.1,0.58
2022,12,12,2.04,5.24,0.15,0.81
2022,12,13,2.71,6.71,0.18,0.98
2022,12,14,3.47,8.15,0.21,1.1
2022,12,15,4.43,9.85,0.25,1.3
2022,12,16,3.51,7.92,0.2,1.06
2022,12,17,1.66,4.43,0.12,0.7
2022,12,18,4.53,10.04,0.23,1.21
2022,12,19,4.7,10.25,0.23,1.14
2022,12,20,4.52,9.95,0.22,1.12
2022,12,21,2.57,5.94,0.14,0.73
2022,12,22,2.9,6.77,0.16,0.79
2022,12,23,2.38,5.93,0.13,0.69
2022,12,24,2.98,6.89,0.16,0.8
2022,12,25,2.81,6.84,0.16,0.83
2022,12,26,2.63,6.52,0.16,0.8
2022,12,27,1.48,4.03,0.1,0.52
2022,12,28,0.98,2.77,0.07,0.38
2022,12,29,0.83,2.4,0.06,0.31
2022,12,30,1.25,3.56,0.09,0.46
2022,12,31,1.57,4.46,0.11,0.57
